	S136	S36	S17	S115	S71	S199	S50	S213	S15	S177	S207	S6	S61	S152	S127	S96	S93	S123	S157	S124	S212	S148	S156	S33	S26	S18	S22	S37	S137	S183	S186	S179	S73	S84	S29	S192	S28	S40	S113	S57	S24	S146	S89	S112	S87	S106	S154	S85	S134	S54	S117	S173	S160	S8	S88	S165	S126	S168	S200	S141	S62	S109	S4	S158	S91	S39	S94	S215	S121	S80	S203	S67	S122	S12	S149	S217	S38	S120	S171	S99	S105	S153	S187	S214
S92	0.636053996589	0.566427322823	0.5179855937460001	0.597101397852	0.624058570812	0.588728306186	0.580090800934	0.526198063699	0.541208802577	0.574506725924	0.586807880991	0.47387890199500005	0.606619832354	0.518598629168	0.564146811635	0.532228901456	0.46924110043399997	0.601362742866	0.7216713905050001	0.562978525245	0.538451734914	0.46896758804099997	0.769064504481	0.53121698147	0.631127324097	0.576640775985	0.6197503997680001	0.629452437565	0.635326754033	0.606660216114	0.562816364531	0.521934857451	0.592767371944	0.59576227052	0.591982422833	0.566720461596	0.481219030189	0.48446766627899995	0.5399745319929999	0.592730817587	0.51658115721	0.570761929816	0.6134134409390001	0.529204554125	0.634371668306	0.490281612237	0.528420369482	0.61916737123	0.5597799921559999	0.626165095591	0.516694955283	0.561240415146	0.518273975373	0.527973430276	0.62688794363	0.54640469958	0.610139965625	0.53385692488	0.553111004934	0.552929348464	0.60537599956	0.463852760846	0.467140334361	0.516549089796	0.450538904835	0.47304793408999996	0.566660616008	0.542977839645	0.5612720978119999	0.578104372952	0.595802942172	0.6306900938350001	0.510584869639	0.558412205516	0.55301128531	0.521831275702	0.445439745165	0.621209125617	0.526068784016	0.47900513390199995	0.531158799661	0.494425717569	0.504939485642	0.5157674876899999
S208	0.571975716333	0.5984168949059999	0.710096906403	0.559673540059	0.5769869828059999	0.544173506268	0.52452749899	0.686657471719	0.7430171366570001	0.583013146052	0.515092922561	0.7264884581219999	0.580510136407	0.693699318266	0.621123084046	0.616875785404	0.675381437316	0.617055638367	0.813010750457	0.546171906609	0.7129588956530001	0.704423835645	0.829182028384	0.642670766921	0.7662679188950001	0.738797393944	0.766936863064	0.7732217269089999	0.597507364581	0.560044422638	0.600135580336	0.600342824865	0.6217231711410001	0.552648682359	0.759231298577	0.558950753293	0.6944727469159999	0.674219825802	0.636786272345	0.519358472111	0.7073486996259999	0.598872023218	0.520641263136	0.723497081647	0.480647979667	0.702397947033	0.733131411389	0.46307626952200004	0.613238901451	0.596473475309	0.642213298137	0.699690429278	0.664059497782	0.7106631281829999	0.478520747072	0.638347017007	0.53137210916	0.606706708214	0.592150884435	0.586755749646	0.601463375398	0.686339832615	0.682300691854	0.6783038520870001	0.665720867439	0.695448851983	0.592359433168	0.657732468689	0.604770166159	0.603875406009	0.473846471476	0.5731970663139999	0.6311289651959999	0.731405542269	0.682630483242	0.677539566842	0.67243421042	0.502361540853	0.614854305022	0.6838941833259999	0.611241881161	0.7120402146870001	0.6477951540569999	0.684748256141
S101	0.634486842128	0.5693929551720001	0.528344318523	0.5944505554249999	0.618233517969	0.585015252645	0.57294241787	0.527930371867	0.5485298273129999	0.561368001409	0.585563379895	0.46928945872100003	0.614784906377	0.5114640592230001	0.550982354494	0.522830366918	0.466777283181	0.596526916083	0.730080100033	0.567389023024	0.5257648755709999	0.466062467229	0.768547500188	0.5254831279869999	0.634089779139	0.572344858543	0.620563023732	0.630467201089	0.628419874963	0.600149700146	0.5538589178109999	0.524644828302	0.589877088219	0.5984331206319999	0.602248446171	0.562758203874	0.47520704043000006	0.48454908506800004	0.535092948334	0.598403934156	0.521258246536	0.563433326378	0.621499954253	0.540604494383	0.635359829258	0.482948269002	0.530368406938	0.623264216326	0.561480644273	0.624160031316	0.507817790734	0.560076028041	0.509102949349	0.526721417073	0.6320597966579999	0.5407182118330001	0.6029256040690001	0.516130224329	0.547604803747	0.554250129332	0.606072043623	0.46756073020499994	0.466437184844	0.520628571053	0.446043845692	0.487771829538	0.564345299065	0.536153525347	0.566431136309	0.573286804929	0.603642367128	0.632864029962	0.512663728825	0.5619518765899999	0.547911726502	0.520404089595	0.443368448226	0.61945402329	0.506487069001	0.46084238680699996	0.515679987027	0.498737872374	0.497671560034	0.512533307297
S125	0.511639304885	0.5928179533	0.630588916083	0.566222885679	0.5107367274629999	0.529304067345	0.558658405456	0.507587636651	0.644213654335	0.568192111217	0.570648355923	0.5908635723960001	0.504793138072	0.598890241315	0.52037215789	0.570352044472	0.555675160076	0.439207828773	0.764120550851	0.5566325723009999	0.549896392351	0.563332582813	0.802688775371	0.570275871595	0.691104548304	0.661106183793	0.6826354638959999	0.711508115825	0.537490846247	0.550524234459	0.5665992101489999	0.508205951623	0.500722130019	0.592098051175	0.6765298424889999	0.5427828359669999	0.531114510708	0.58202891018	0.562086451125	0.5628128094529999	0.603396925267	0.557677839667	0.619686325825	0.650748420341	0.604429181696	0.594292819584	0.63975836152	0.603008411279	0.411832969842	0.612481275317	0.538391281915	0.594913634896	0.5722485105039999	0.602966881316	0.607798107231	0.5806979011860001	0.593422585725	0.5632744255709999	0.558049189787	0.56990972828	0.491254152824	0.602661871268	0.562925892263	0.599517428551	0.561367132294	0.615265284629	0.546116068818	0.572205425769	0.43130085072400004	0.44957383771000003	0.578920089262	0.523011156495	0.5476406863669999	0.664147611921	0.600201447009	0.551642190944	0.578078577151	0.594081701864	0.572025153388	0.567901143075	0.569467661799	0.586509852232	0.525921462691	0.525176933719
S196	0.60944373314	0.51027954972	0.6209814255170001	0.5406722321199999	0.5853621342700001	0.497042421753	0.5044548439590001	0.565220601568	0.644287753922	0.5057615861320001	0.493210827411	0.6236863990429999	0.582287216159	0.5764111959839999	0.55249454446	0.541623595762	0.550669091891	0.606579416025	0.779992176872	0.48211332086400005	0.590734489469	0.572614680786	0.812342094903	0.517450322726	0.7012043770540001	0.654605469787	0.689890345205	0.7285799953450001	0.605721171383	0.5499158570880001	0.49523566796	0.522242140434	0.579237505133	0.528805165554	0.683118277641	0.453756230284	0.580664590901	0.554450897971	0.538376086747	0.52158184537	0.579940678587	0.49097257833999997	0.511300008384	0.64625306655	0.526767816627	0.582002608786	0.623151440503	0.5271161300680001	0.572876859143	0.567121598996	0.5402040613319999	0.623475171941	0.548078029986	0.623684989649	0.520971039454	0.555556489372	0.501448560382	0.5117665662259999	0.493050892122	0.501393711809	0.591720966826	0.568213490929	0.560904841417	0.540761822377	0.514531437562	0.582186162164	0.5606236061209999	0.555308961826	0.582447913835	0.561566979149	0.515394724329	0.603381745712	0.5389913281000001	0.666890582178	0.55686326586	0.5516735756260001	0.549263836931	0.530076358916	0.48896031991000005	0.534142676968	0.536158168208	0.571299068052	0.538852603512	0.5638009902359999
S204	0.5183148986739999	0.516973094525	0.652406461968	0.493907174023	0.502108288095	0.449807703135	0.42240051183399996	0.583023812772	0.6822793882629999	0.48847046634900004	0.40866238116899994	0.651552703637	0.49600630129100004	0.588099025548	0.508651518618	0.501562670168	0.586095476287	0.590451522897	0.796595982947	0.43898864298	0.588092126811	0.599006354198	0.823534273824	0.540292068406	0.7395557747229999	0.695286168201	0.7287491869149999	0.755797274144	0.5363173761	0.488132166738	0.50887424916	0.513888707918	0.504617457583	0.45893904813	0.7125171070899999	0.49007704367399996	0.615455617148	0.5758774574800001	0.523667697886	0.41960049652	0.6308145578000001	0.476134480167	0.466865204649	0.6884609737399999	0.466690542272	0.632783541277	0.669548315646	0.460146909697	0.547357548997	0.488375277293	0.523775228372	0.662893544201	0.550985799413	0.669641776965	0.44044165668799995	0.526949687581	0.457699878837	0.500622416646	0.455231582459	0.47364376696800004	0.504656228369	0.602256647925	0.586659086411	0.583195811639	0.5587621643890001	0.6256359201030001	0.487431200849	0.520033789179	0.566772790036	0.51385910133	0.428836794523	0.510280501693	0.509006362231	0.697014611102	0.566849671843	0.5596172219810001	0.580239084267	0.458631274981	0.510348470466	0.571365278578	0.487586382147	0.610401173891	0.553121495364	0.574453844379
S111	0.723069785513	0.655785750318	0.473310909005	0.6979068472609999	0.7176972645090001	0.686915272333	0.69011712271	0.631181032955	0.46443405128700005	0.682731752042	0.692560607482	0.5155704485270001	0.7139954833	0.61523244489	0.669652575078	0.663526599954	0.571388813965	0.6736566496340001	0.609191077122	0.6746567092199999	0.62823922196	0.58604995309	0.659992589852	0.6262447717399999	0.493376700716	0.44918865889700005	0.4963987886899999	0.47099431406099995	0.7284214694939999	0.705627868319	0.652590120144	0.640199758244	0.695959221963	0.6949566078489999	0.44971866457099996	0.666472169188	0.546371696042	0.594800902907	0.6614546856629999	0.696822462307	0.550573978128	0.6775502729649999	0.7107798368170001	0.39319336388000004	0.7052629126800001	0.46633186936099996	0.47697499866000004	0.707641652896	0.653672316217	0.722803134372	0.642014129322	0.515971639762	0.650590405555	0.49005226122100004	0.7099986943880001	0.6717116039129999	0.702606886931	0.657452457376	0.676055097068	0.671097948928	0.7033473604699999	0.5016692611300001	0.566937364808	0.598398796541	0.580446870978	0.47361343272399997	0.686753923766	0.668550952877	0.652645079539	0.67693131147	0.692050774923	0.723246810279	0.6504888969789999	0.45557099416999997	0.658335359813	0.633219985991	0.5357664069929999	0.710670977483	0.637507993002	0.601322887052	0.659680662527	0.5603053610809999	0.612228587662	0.629476909943
S116	0.550879100424	0.544081124893	0.632658550914	0.506137376378	0.52746117319	0.508465381659	0.49435389358599996	0.496235138856	0.640736180769	0.475247170261	0.499675712046	0.596757491815	0.5229254120100001	0.49136976942599997	0.46600880768700004	0.418626191013	0.527007704217	0.619849542721	0.793406954789	0.488230833042	0.5137351962210001	0.502862722094	0.8232375666480001	0.500467789913	0.727131464803	0.668500910784	0.7045897395280001	0.734791311426	0.546156727244	0.5088530820180001	0.502927306164	0.489844007532	0.47970424008999996	0.511073480893	0.692053436225	0.510667710309	0.557322147709	0.5181753008760001	0.410464268431	0.512341154554	0.580403516491	0.454650812954	0.549715176989	0.655686376124	0.582191585978	0.583028444434	0.625959382294	0.5769965700140001	0.5515233275270001	0.549097844257	0.43420346937700005	0.645431753885	0.468520837245	0.627196535976	0.5667375569740001	0.46799430565	0.531234427526	0.449244349783	0.46254170580799997	0.48274074573299997	0.526591349085	0.557052271813	0.5275565669560001	0.526121688758	0.482358104902	0.585210243213	0.508864542376	0.460555689853	0.585816969311	0.497354504641	0.541007634786	0.5527497697739999	0.48539940715499996	0.6774678404350001	0.46682630932700003	0.47727180533999997	0.535486162381	0.540498092946	0.478266426901	0.486310285613	0.42679434725599996	0.526074932567	0.507205414561	0.509455103841
S132	0.5337357006660001	0.616881219576	0.650949399236	0.591140721935	0.550594165726	0.573496670173	0.59161557382	0.557805785463	0.665629828498	0.604806838617	0.612437988393	0.616584420514	0.543479665943	0.635429234263	0.561010520028	0.614974259194	0.585968738559	0.419681497537	0.764984738645	0.597412295045	0.603743087173	0.602876643359	0.7991281220199999	0.6042044081360001	0.69838541995	0.674174938519	0.7048624873739999	0.711464547923	0.563546842764	0.570652489411	0.596484805262	0.542437462285	0.548725184629	0.637567604547	0.6942417064249999	0.5845684772909999	0.5584412620570001	0.6068669364270001	0.618548005283	0.606919963099	0.647180128956	0.599571038427	0.659511261577	0.6567627109740001	0.6315775533079999	0.6183626885710001	0.671190664882	0.640344906663	0.424401714767	0.638454868332	0.579078148397	0.596127659466	0.608890170236	0.624922791659	0.638187567213	0.618151665542	0.6373538696159999	0.602598574106	0.6034400247899999	0.615549465671	0.512969050789	0.627025096241	0.599615636691	0.6472282410679999	0.6028053110239999	0.643974932569	0.575876176696	0.612775493718	0.418973117667	0.507258848586	0.622886151346	0.552029448557	0.588365334332	0.676739419152	0.644715565614	0.592146727066	0.60812308099	0.621630859734	0.6109205482060001	0.614323167547	0.618356582524	0.628707675519	0.5428188322749999	0.572380546492
S135	0.45539996960600004	0.594771963815	0.6611504867279999	0.544087767337	0.46670251941000007	0.5079655866699999	0.528894240977	0.497751874361	0.6693256979119999	0.536245763554	0.547268176425	0.6127310267480001	0.44030790706699996	0.580978053608	0.477687289493	0.535571884151	0.5564631915730001	0.479278677433	0.7847011726980001	0.541479685521	0.530985892985	0.5577476629420001	0.8133442113089999	0.56586494592	0.719907418042	0.690849307429	0.709650103531	0.7413012033390001	0.47853274801299994	0.517971931	0.553632056049	0.49235860500100004	0.450242321263	0.576357436791	0.703573186877	0.5265188583820001	0.5536208331710001	0.582345217836	0.5292091285849999	0.547976086955	0.624764151931	0.518995771986	0.610691289166	0.679633060335	0.5895685485859999	0.623035655625	0.666556370654	0.594837228618	0.431680302641	0.587354823755	0.500401058677	0.629407336275	0.5384527164899999	0.639980229188	0.591793265563	0.549385026382	0.583491158937	0.526906449193	0.534651938186	0.5381311384699999	0.435789555809	0.625651673736	0.581862666253	0.60403923462	0.559659133402	0.639721078387	0.522404656188	0.5186341901389999	0.46896961245200003	0.400663733402	0.562997104559	0.479820639974	0.528965413572	0.7009021388689999	0.567754433171	0.5267037405089999	0.5962586884059999	0.575522874197	0.567288506704	0.572543100366	0.537911815076	0.5861896570740001	0.528328121441	0.5108742447779999
