PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
S108	-2.806	-0.128	-0.188	0.482	-0.575	0.177	-0.317	-0.337	-0.45	0.125	-0.186	-0.28	0.43	0.231	-0.263	-0.154	-0.223	0.125	0.34	0.114	0.348	-0.07	-0.145	0.051	0.006	0.018	0.042	-0.096	0.031	-0.009	0.158	0.031	0.093	-0.031	-0.239	0.02	0.087	-0.128	-0.202	-0.043	-0.144	-0.006	-0.052	-0.062	0.182	-0.008	0.059	-0.017	-0.044	-0.096
S2	-3.419	-0.949	0.028	-0.371	-0.395	-0.193	-0.251	0.337	-0.078	0.002	-0.07	-0.108	-0.222	0.081	0.117	0.034	0.02	0.346	-0.012	-0.319	-0.077	-0.058	0.03	0.109	-0.094	-0.084	0.148	-0.033	-0.02	0.176	-0.334	-0.104	-0.076	-0.083	0.119	-0.002	0.102	-0.015	0.048	-0.094	-0.029	0.066	-0.083	0.021	-0.124	0.169	0.009	-0.095	-0.114	-0.01
S206	1.707	-0.517	0.707	-0.291	0.159	-0.399	-0.262	0.422	-0.202	-0.071	-0.292	0.104	0.213	-0.101	0	-0.082	0.011	-0.089	0.055	-0.009	0.073	-0.145	0.023	0.063	-0.122	0.064	0.038	0.034	-0.089	-0.057	-0.022	0.106	-0.007	0.133	-0.114	-0.047	-0.078	-0.156	0.03	-0.019	0.038	-0.068	-0.096	-0.064	-0.025	0.108	0.1	0.017	-0.119	0.015
S139	1.756	-0.817	0.354	0.076	-0.113	0.005	-0.046	0.328	-0.041	-0.125	-0.288	0.036	0.096	0.084	-0.029	0.142	-0.093	0.105	0.091	0.055	0.063	-0.002	0.137	-0.101	0.036	0.065	-0.042	0.071	-0.044	-0.038	-0.004	0.107	0.039	-0.028	0.064	-0.027	0.015	-0.032	-0.02	-0.016	-0.054	-0.068	-0.021	-0.104	-0.156	-0.031	0.043	-0.026	-0.143	-0.04
S56	1.608	-1.468	1.287	0.196	-0.28	-0.475	0.046	-0.082	0.412	-0.194	0.17	0.114	-0.122	-0.057	-0.134	-0.152	0.227	0.019	-0.009	0.011	-0.011	0.128	-0.135	0.084	0.276	-0.114	0.258	0.106	0.062	0.197	0.025	0.04	-0.049	-0.07	-0.062	0.087	-0.033	0.042	0.164	0.105	0.124	0.013	0.073	-0.064	0.132	-0.095	-0.061	-0.13	0.045	0.078
S41	-1.059	0.873	0.556	0.758	-0.132	0.106	0.122	-0.707	-0.134	-0.074	-0.027	0.151	-0.255	-0.069	0.057	0.242	-0.238	-0.009	0.21	-0.047	-0.002	-0.02	-0.174	-0.155	-0.062	0.161	-0.118	0.006	-0.045	-0.122	0.171	-0.057	0.109	-0.043	0.022	0.036	-0.069	-0.017	0.052	-0.029	-0.03	-0.056	0.025	-0.026	-0.007	-0.044	0.044	-0.019	0.076	-0.106
S193	-0.101	-0.566	0.716	0.715	0.903	-0.212	0.274	0.137	-0.108	0.108	0.031	0.494	-0.274	0.1	-0.239	-0.039	-0.124	-0.021	-0.02	0.074	-0.131	-0.116	-0.107	0.028	-0.066	0.028	0.003	-0.015	0.03	-0.014	-0.116	-0.282	-0.137	-0.064	-0.194	-0.051	-0.204	0.116	-0.137	-0.041	0.221	0.007	0.022	0.128	-0.01	-0.159	0.138	-0.067	0.108	-0.053
S60	1.702	-0.684	-1.07	0.024	-0.329	0.002	-0.577	-0.225	0.049	-0.12	-0.092	-0.126	0.076	-0.175	0.369	-0.063	0.013	0.008	-0.018	-0.08	-0.004	0.074	0.12	0	-0.018	0.028	-0.046	-0.06	-0.071	-0.02	-0.165	-0.04	-0.011	0.077	-0.102	-0.028	-0.037	0.061	0.125	0.196	0.128	0.013	0.062	-0.141	-0.034	0.083	-0.006	0.142	-0.081	-0.054
S114	1.312	0.201	0.057	-0.225	0.399	0.778	-0.165	0.338	0.192	-0.058	-0.124	-0.348	-0.016	0.187	0.191	-0.124	0.067	-0.229	-0.143	-0.114	0.105	0.18	-0.017	-0.021	0.13	-0.009	-0.112	0.035	0.133	-0.08	-0.119	-0.065	0.031	0.094	0.193	-0.032	-0.074	-0.115	0	-0.022	-0.083	-0.029	0.037	0.027	-0.017	-0.037	-0.004	0.118	-0.024	-0.142
S74	1.722	-1.037	-1.235	0.195	-0.551	-0.004	-0.453	-0.296	0.186	0.049	-0.013	-0.049	-0.206	-0.307	0.181	0.032	-0.107	0.064	0.116	0.103	0.101	0.18	0.049	-0.072	-0.043	0.006	-0.016	-0.033	0.012	-0.055	-0.173	0.079	0.183	-0.104	0.005	-0.006	-0.046	-0.061	-0.013	0.052	-0.173	0.094	0.041	-0.024	-0.035	-0.022	0.048	-0.004	0.057	0.07
